sample	fastq_r1	fastq_r2	condition	replicate	read_group_library	read_group_unit	control_sample
RPE_EV_H3K36me3_Set_1_S1	data/04222026_RPE_EV_H3K36me3_Set_1_S1_L001_R1_001.fastq.gz	data/04222026_RPE_EV_H3K36me3_Set_1_S1_L001_R2_001.fastq.gz	EV_H3K36me3	1	lib001	unitA	EV_INPUT
RPE_KDM4C_OE_H3K36me3_Set_1_S2	data/04222026_RPE_KDM4C_OE_H3K36me3_Set_1_S2_L001_R1_001.fastq.gz	data/04222026_RPE_KDM4C_OE_H3K36me3_Set_1_S2_L001_R2_001.fastq.gz	KDM4C_OE_H3K36me3	1	lib001	unitA	KDM4C_OE_INPUT
RPE_EV_H3K36me3_Set_2_S3	data/04222026_RPE_EV_H3K36me3_Set_2_S3_L001_R1_001.fastq.gz	data/04222026_RPE_EV_H3K36me3_Set_2_S3_L001_R2_001.fastq.gz	EV_H3K36me3	1	lib001	unitA	EV_INPUT
RPE_KDM4C_OE_H3K36me3_Set_2_S4	data/04222026_RPE_KDM4C_OE_H3K36me3_Set_2_S4_L001_R1_001.fastq.gz	data/04222026_RPE_KDM4C_OE_H3K36me3_Set_2_S4_L001_R2_001.fastq.gz	KDM4C_OE_H3K36me3	1	lib001	unitA	KDM4C_OE_INPUT
RPE_EV_H3K9me3_Set_1_S5	data/04222026_RPE_EV_H3K9me3_Set_1_S5_L001_R1_001.fastq.gz	data/04222026_RPE_EV_H3K9me3_Set_1_S5_L001_R2_001.fastq.gz	EV_H3K9me3	1	lib001	unitA	EV_INPUT
RPE_KDM4C_OE_H3K9me3_Set_1_S6	data/04222026_RPE_KDM4C_OE_H3K9me3_Set_1_S6_L001_R1_001.fastq.gz	data/04222026_RPE_KDM4C_OE_H3K9me3_Set_1_S6_L001_R2_001.fastq.gz	KDM4C_OE_H3K9me3	1	lib001	unitA	KDM4C_OE_INPUT
RPE_EV_H3K9me3_Set_2_S7	data/04222026_RPE_EV_H3K9me3_Set_2_S7_L001_R1_001.fastq.gz	data/04222026_RPE_EV_H3K9me3_Set_2_S7_L001_R2_001.fastq.gz	RPE_EV_H3K9me3	1	lib001	unitA	EV_INPUT
RPE_KDM4C_OE_H3K9me3_Set_2_S8	data/04222026_RPE_KDM4C_OE_H3K9me3_Set_2_S8_L001_R1_001.fastq.gz	data/04222026_RPE_KDM4C_OE_H3K9me3_Set_2_S8_L001_R2_001.fastq.gz	KDM4C_OE_H3K9me3	1	lib001	unitA	KDM4C_OE_INPUT
RPE_EV_INPUT_S9_L001	data/04222026_RPE_EV_INPUT_S9_L001_R1_001.fastq.gz	data/04222026_RPE_EV_INPUT_S9_L001_R2_001.fastq.gz	EV_INPUT	1	lib001	unitA	
RPE_KDM4C_OE_INPUT_S10	data/04222026_RPE_KDM4C_OE_INPUT_S10_L001_R1_001.fastq.gz	data/04222026_RPE_KDM4C_OE_INPUT_S10_L001_R2_001.fastq.gz	KDM4C_OE_INPUT	1	lib001	unitA	
